SCOC	Intra-Golgi and retrograde Golgi-to-ER traffic(R)
FZD10	Alzheimer disease-presenilin pathway(P)
FZD10	Wnt signaling pathway(P)
MYLK	Signaling by Rho GTPases(R)
MYLK	mcalpain and friends in cell motility(B)
MYLK	pkc-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase(B)
MYLK	Aurora B signaling(N)
MYLK	Smooth Muscle Contraction(R)
MYLK	bioactive peptide induced signaling pathway(B)
MYLK	erk and pi-3 kinase are necessary for collagen binding in corneal epithelia(B)
MYLK	rho cell motility signaling pathway(B)
MYLK	rac1 cell motility signaling pathway(B)
MYLK	Inflammation mediated by chemokine and cytokine signaling pathway(P)
MYLK	Cytoskeletal regulation by Rho GTPase(P)
LSM10	Processing of Capped Intronless Pre-mRNA(R)
LSM10	RNA Polymerase II Transcription(R)
LSM11	Processing of Capped Intronless Pre-mRNA(R)
LSM11	RNA Polymerase II Transcription(R)
OR10AD1	GPCR downstream signaling(R)
OR6T1	GPCR downstream signaling(R)
MYL4	Striated Muscle Contraction(R)
MYL5	Smooth Muscle Contraction(R)
MYL6	Signaling by Rho GTPases(R)
MYL6	EPH-Ephrin signaling(R)
MYL6	Smooth Muscle Contraction(R)
MYL6	Semaphorin interactions(R)
MYL7	Smooth Muscle Contraction(R)
RFX6	Regulation of beta-cell development(R)
MYL1	Regulation of retinoblastoma protein(N)
MYL1	Striated Muscle Contraction(R)
MYL2	nfat and hypertrophy of the heart (B)
MYL2	pkc-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase(B)
MYL2	RhoA signaling pathway(N)
MYL2	PAR1-mediated thrombin signaling events(N)
MYL2	rho cell motility signaling pathway(B)
MYL2	N-cadherin signaling events(N)
MYL2	alk in cardiac myocytes(B)
MYL2	rac1 cell motility signaling pathway(B)
MYL2	PAR4-mediated thrombin signaling events(N)
MYL2	ccr3 signaling in eosinophils(B)
MYL2	Striated Muscle Contraction(R)
MYL2	Stabilization and expansion of the E-cadherin adherens junction(N)
MYL2	CDC42 signaling events(N)
ETHE1	Sulfur amino acid metabolism(R)
MYL3	Striated Muscle Contraction(R)
UQCRC1	The citric acid (TCA) cycle and respiratory electron transport(R)
UQCRC2	The citric acid (TCA) cycle and respiratory electron transport(R)
MYL9	Signaling by Rho GTPases(R)
MYL9	Smooth Muscle Contraction(R)
MYL9	EPH-Ephrin signaling(R)
MYL9	Integrin-linked kinase signaling(N)
MYL9	Semaphorin interactions(R)
HPN	Signaling by MST1(R)
HPN	Signaling by MET(R)
NCAPG	Aurora B signaling(N)
NCAPG	Mitotic Prometaphase(R)
HPR	Binding and Uptake of Ligands by Scavenger Receptors(R)
NCAPH	Aurora B signaling(N)
NCAPH	Mitotic Prometaphase(R)
GABARAP	gamma-aminobutyric acid receptor life cycle pathway(B)
GABARAP	TBC/RABGAPs(R)
GABARAP	Macroautophagy(R)
OR6S1	GPCR downstream signaling(R)
IL22RA2	Signaling by Interleukins(R)
IL22RA2	il22 soluble receptor signaling pathway(B)
CYB5R2	Erythrocytes take up carbon dioxide and release oxygen(R)
HSD11B1	visceral fat deposits and the metabolic syndrome(B)
HSD11B1	Metabolism of steroid hormones(R)
HPX	Binding and Uptake of Ligands by Scavenger Receptors(R)
HSD11B2	Metabolism of steroid hormones(R)
CYB5R3	Phase 1 - Functionalization of compounds(R)
CYB5R3	Metabolism of water-soluble vitamins and cofactors(R)
CYB5R3	Neutrophil degranulation(R)
MYO6	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell(R)
MYO6	Stabilization and expansion of the E-cadherin adherens junction(N)
MYO6	Gap junction trafficking and regulation(R)
MYH7B	Wnt signaling pathway(P)
MYH7B	Nicotinic acetylcholine receptor signaling pathway(P)
GPR17	GPCR downstream signaling(R)
GPR17	Gastrin-CREB signalling pathway via PKC and MAPK(R)
GPR17	GPCR ligand binding(R)
OR8B12	GPCR downstream signaling(R)
GPR15	GPCR downstream signaling(R)
SNUPN	Metabolism of non-coding RNA(R)
IL22RA1	Signaling by Interleukins(R)
LYPD6B	Post-translational modification: synthesis of GPI-anchored proteins(R)
NOSTRIN	Metabolism of nitric oxide(R)
HRG	Response to elevated platelet cytosolic Ca2+(R)
HRG	Dissolution of Fibrin Clot(R)
GPR18	GPCR downstream signaling(R)
GPR18	GPCR ligand binding(R)
HRK	ATF-2 transcription factor network(N)
GPR27	GPCR downstream signaling(R)
GPR25	GPCR downstream signaling(R)
GPR20	GPCR downstream signaling(R)
PTH1R	GPCR downstream signaling(R)
PTH1R	GPCR ligand binding(R)
HSPB11	Cilium Assembly(R)
UG0315G03 {ECO:0000313|EMBL:AAN76516.1}	agrin in postsynaptic differentiation(B)
UG0315G03 {ECO:0000313|EMBL:AAN76516.1}	prion pathway(B)
OR6Y1	GPCR downstream signaling(R)
Noggin {ECO:0000256|PIRNR:PIRNR008129}	alk in cardiac myocytes(B)
MYOG	Regulation of nuclear beta catenin signaling and target gene transcription(N)
MYOG	Myogenesis(R)
UPF2	Nonsense-Mediated Decay (NMD)(R)
UPF1	Nonsense-Mediated Decay (NMD)(R)
GPR37	Parkinson disease(P)
GPR37	GPCR ligand binding(R)
GPR37	role of parkin in ubiquitin-proteasomal pathway(B)
GPR35	GPCR ligand binding(R)
GPR32	GPCR downstream signaling(R)
cDNA, FLJ93654, highly similar to Homo sapiens serpin peptidase inhibitor, clade B (ovalbumin), memb	fibrinolysis pathway(B)
PGAM1	Metabolism of carbohydrates(R)
PGAM1	Neutrophil degranulation(R)
PGAM2	Metabolism of carbohydrates(R)
MYOF	Signaling events mediated by VEGFR1 and VEGFR2(N)
GPR31	GPCR ligand binding(R)
PTH2R	GPCR downstream signaling(R)
PTH2R	GPCR ligand binding(R)
DNTT	Validated targets of C-MYC transcriptional repression(N)
DNTT	DNA-PK pathway in nonhomologous end joining(N)
VAMP8	trans-Golgi Network Vesicle Budding(R)
VAMP8	Beta3 adrenergic receptor signaling pathway(P)
VAMP8	5HT2 type receptor mediated signaling pathway(P)
VAMP8	5HT4 type receptor mediated signaling pathway(P)
VAMP8	Clathrin-mediated endocytosis(R)
VAMP8	Oxytocin receptor mediated signaling pathway(P)
VAMP8	5HT3 type receptor mediated signaling pathway(P)
VAMP8	Beta1 adrenergic receptor signaling pathway(P)
VAMP8	Beta2 adrenergic receptor signaling pathway(P)
VAMP8	Cortocotropin releasing factor receptor signaling pathway(P)
VAMP8	Class I MHC mediated antigen processing & presentation(R)
VAMP8	Neutrophil degranulation(R)
VAMP7	trans-Golgi Network Vesicle Budding(R)
VAMP7	Clathrin-mediated endocytosis(R)
OR6X1	GPCR downstream signaling(R)
PELI1	Signaling by Interleukins(R)
PELI1	Toll-Like Receptors Cascades(R)
VAMP1	Beta3 adrenergic receptor signaling pathway(P)
VAMP1	Synaptic_vesicle_trafficking(P)
VAMP1	5HT1 type receptor mediated signaling pathway(P)
VAMP1	5HT2 type receptor mediated signaling pathway(P)
VAMP1	5HT4 type receptor mediated signaling pathway(P)
VAMP1	Oxytocin receptor mediated signaling pathway(P)
VAMP1	5HT3 type receptor mediated signaling pathway(P)
VAMP1	Beta1 adrenergic receptor signaling pathway(P)
VAMP1	Beta2 adrenergic receptor signaling pathway(P)
VAMP1	Cortocotropin releasing factor receptor signaling pathway(P)
VAMP4	Clathrin-mediated endocytosis(R)
VAMP4	Intra-Golgi and retrograde Golgi-to-ER traffic(R)
VAMP2	Effects of Botulinum toxin(N)
VAMP2	Integration of energy metabolism(R)
VAMP2	Synaptic_vesicle_trafficking(P)
VAMP2	5HT1 type receptor mediated signaling pathway(P)
VAMP2	5HT2 type receptor mediated signaling pathway(P)
VAMP2	5HT4 type receptor mediated signaling pathway(P)
VAMP2	5HT3 type receptor mediated signaling pathway(P)
VAMP2	Cortocotropin releasing factor receptor signaling pathway(P)
VAMP2	Translocation of GLUT4 to the plasma membrane(R)
VAMP2	Insulin-mediated glucose transport(N)
VAMP2	Insulin processing(R)
VAMP2	trans-Golgi Network Vesicle Budding(R)
VAMP2	Beta3 adrenergic receptor signaling pathway(P)
VAMP2	Clathrin-mediated endocytosis(R)
VAMP2	Neurotransmitter Release Cycle(R)
VAMP2	Oxytocin receptor mediated signaling pathway(P)
VAMP2	Beta1 adrenergic receptor signaling pathway(P)
VAMP2	Beta2 adrenergic receptor signaling pathway(P)
VAMP3	5HT1 type receptor mediated signaling pathway(P)
VAMP3	5HT2 type receptor mediated signaling pathway(P)
VAMP3	5HT4 type receptor mediated signaling pathway(P)
VAMP3	5HT3 type receptor mediated signaling pathway(P)
VAMP3	Cortocotropin releasing factor receptor signaling pathway(P)
VAMP3	Class I MHC mediated antigen processing & presentation(R)
VAMP3	Beta3 adrenergic receptor signaling pathway(P)
VAMP3	Arf6 trafficking events(N)
VAMP3	Clathrin-mediated endocytosis(R)
VAMP3	Oxytocin receptor mediated signaling pathway(P)
VAMP3	Beta1 adrenergic receptor signaling pathway(P)
VAMP3	Beta2 adrenergic receptor signaling pathway(P)
VAMP3	Intra-Golgi and retrograde Golgi-to-ER traffic(R)
DKFZp686E07254	regulation of transcriptional activity by pml(B)
TMF1	Coregulation of Androgen receptor activity(N)
TMF1	Intra-Golgi and retrograde Golgi-to-ER traffic(R)
GPR45	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway(P)
GPR45	GPCR downstream signaling(R)
PELI3	Signaling by Interleukins(R)
PELI2	Signaling by Interleukins(R)
PELI2	Toll-Like Receptors Cascades(R)
HTT	Direct p53 effectors(N)
HTT	Huntington disease(P)
PTGS2	Calcineurin-regulated NFAT-dependent transcription in lymphocytes(N)
PTGS2	S1P1 pathway(N)
PTGS2	Signaling mediated by p38-alpha and p38-beta(N)
PTGS2	Metabolism of water-soluble vitamins and cofactors(R)
PTGS2	Calcium signaling in the CD4+ TCR pathway(N)
PTGS2	C-MYB transcription factor network(N)
PTGS2	Arachidonic acid metabolism(R)
PTGS2	Signaling by Interleukins(R)
PTGS2	Endothelin signaling pathway(P)
PRAM1	regulation of transcriptional activity by pml(B)
PTGS1	basic mechanism of action of ppara pparb(d) and pparg and effects on gene expression(B)
PTGS1	Phase 1 - Functionalization of compounds(R)
PTGS1	Arachidonic acid metabolism(R)
PTGS1	mechanism of acetaminophen activity and toxicity(B)
PTGS1	eicosanoid metabolism(B)
PTGS1	aspirin blocks signaling pathway involved in platelet activation(B)
GGA2	Amyloid fiber formation(R)
GGA2	TBC/RABGAPs(R)
GGA1	Amyloid fiber formation(R)
GGA1	TBC/RABGAPs(R)
GGA3	Amyloid fiber formation(R)
GGA3	Signaling by MET(R)
GGA3	TBC/RABGAPs(R)
GGA3	Arf1 pathway(N)
MICALL1	Integrin signalling pathway(P)
LEO1	RNA Polymerase II Transcription(R)
LEO1	Protein ubiquitination(R)
LEO1	TCF dependent signaling in response to WNT(R)
AP2S1	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell(R)
AP2S1	EPH-Ephrin signaling(R)
AP2S1	Beta-catenin independent WNT signaling(R)
AP2S1	L1CAM interactions(R)
AP2S1	MHC class II antigen presentation(R)
AP2S1	Signalling by NGF(R)
AP2S1	Clathrin-mediated endocytosis(R)
AP2S1	Lipid digestion, mobilization, and transport(R)
ANO10	Ion channel transport(R)
SRSF10	Processing of Capped Intron-Containing Pre-mRNA(R)
YKT6	ER to Golgi Anterograde Transport(R)
YKT6	Asparagine N-linked glycosylation(R)
YKT6	Intra-Golgi and retrograde Golgi-to-ER traffic(R)
SRSF11	RNA Polymerase II Transcription(R)
SRSF11	Processing of Capped Intron-Containing Pre-mRNA(R)
GPR55	GPCR downstream signaling(R)
GPR55	GPCR ligand binding(R)
DKFZp666O0110	erk and pi-3 kinase are necessary for collagen binding in corneal epithelia(B)
DKFZp666O0110	integrin signaling pathway(B)
GPR50	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway(P)
BYSL	rRNA processing(R)
OR6V1	GPCR downstream signaling(R)
GPR68	GPCR downstream signaling(R)
GPR68	Gastrin-CREB signalling pathway via PKC and MAPK(R)
GPR68	GPCR ligand binding(R)
GPR65	GPCR downstream signaling(R)
GPR65	Gastrin-CREB signalling pathway via PKC and MAPK(R)
GPR65	GPCR ligand binding(R)
SLC9C1	Ion channel transport(R)
YY1	mTOR signaling pathway(N)
YY1	Notch-mediated HES/HEY network(N)
YY1	Signaling events mediated by HDAC Class I(N)
YY1	p53 pathway(N)
YY1	Activation of anterior HOX genes in hindbrain development during early embryogenesis(R)
YY1	E2F transcription factor network(N)
YY1	Notch signaling pathway(N)
YY1	Deubiquitination(R)
YY1	Nucleotide Excision Repair(R)
YY1	Generic Transcription Pathway(R)
RUVBL2	Telomere Maintenance(R)
RUVBL2	Regulation of nuclear beta catenin signaling and target gene transcription(N)
RUVBL2	ATF-2 transcription factor network(N)
RUVBL2	Integrin-linked kinase signaling(N)
RUVBL2	Chromatin modifying enzymes(R)
RUVBL2	C-MYC pathway(N)
RUVBL2	Validated targets of C-MYC transcriptional activation(N)
RUVBL1	Telomere Maintenance(R)
RUVBL1	Integrin-linked kinase signaling(N)
RUVBL1	Chromatin modifying enzymes(R)
RUVBL1	C-MYC pathway(N)
RUVBL1	Deubiquitination(R)
RUVBL1	Nucleotide Excision Repair(R)
RUVBL1	TCF dependent signaling in response to WNT(R)
RUVBL1	Nucleosome assembly(R)
RUVBL1	Validated targets of C-MYC transcriptional activation(N)
LEPR	Signaling by Leptin(R)
LEPR	reversal of insulin resistance by leptin(B)
LEPR	Signaling events mediated by PTP1B(N)
cDNA FLJ51736, highly similar to Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) {EC	the 41bb-dependent immune response(B)
cDNA FLJ51736, highly similar to Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) {EC	hiv-1 nef: negative effector of fas and tnf(B)
cDNA FLJ51736, highly similar to Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) {EC	p38 mapk signaling pathway(B)
cDNA FLJ51736, highly similar to Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) {EC	il-10 anti-inflammatory signaling pathway(B)
cDNA FLJ51736, highly similar to Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) {EC	keratinocyte differentiation(B)
cDNA FLJ51736, highly similar to Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) {EC	mapkinase signaling pathway(B)
AP2M1	MHC class II antigen presentation(R)
AP2M1	Lipid digestion, mobilization, and transport(R)
AP2M1	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell(R)
AP2M1	EPH-Ephrin signaling(R)
AP2M1	ß-arrestins in gpcr desensitization(B)
AP2M1	Beta-catenin independent WNT signaling(R)
AP2M1	L1CAM interactions(R)
AP2M1	Signalling by NGF(R)
AP2M1	Arf1 pathway(N)
AP2M1	Clathrin-mediated endocytosis(R)
AP2M1	endocytotic role of ndk phosphins and dynamin(B)
AP2M1	Gap junction trafficking and regulation(R)
EPM2A	Metabolism of carbohydrates(R)
ANAPC7	Mitotic Metaphase and Anaphase(R)
ANAPC7	APC/C-mediated degradation of cell cycle proteins(R)
ANAPC7	Cell Cycle Checkpoints(R)
ANAPC7	Senescence-Associated Secretory Phenotype (SASP)(R)
S100A1	Toll-Like Receptors Cascades(R)
MYT1	cdc25 and chk1 regulatory pathway in response to dna damage(B)
MYT1	rb tumor suppressor/checkpoint signaling in response to dna damage(B)
MYT1	how progesterone initiates the oocyte maturation(B)
MYT1	cell cycle: g2/m checkpoint(B)
SAP30	Regulation of nuclear SMAD2/3 signaling(N)
SAP30	Hedgehog signaling events mediated by Gli proteins(N)
SAP30	Signaling events mediated by HDAC Class I(N)
SAP30	Regulation of Telomerase(N)
SAP30	Chromatin modifying enzymes(R)
SAP30	NoRC negatively regulates rRNA expression(R)
SLC9B2	Ion channel transport(R)
SLC9A3	Transport of inorganic cations/anions and amino acids/oligopeptides(R)
SLC9A3	RhoA signaling pathway(N)
SLC9A3	Endothelins(N)
TXLNA	Signaling by Interleukins(R)
MAPKAPK3	Signaling by VEGF(R)
MAPKAPK3	p38 signaling mediated by MAPKAP kinases(N)
MAPKAPK3	Angiogenesis(P)
MAPKAPK3	Ras Pathway(P)
MAPKAPK3	Toll-Like Receptors Cascades(R)
MAPKAPK3	Signalling by NGF(R)
MAPKAPK3	Signaling mediated by p38-alpha and p38-beta(N)
MAPKAPK3	VEGF signaling pathway(P)
MAPKAPK3	Oxidative Stress Induced Senescence(R)
MAPKAPK2	Signaling by VEGF(R)
MAPKAPK2	Signaling events mediated by VEGFR1 and VEGFR2(N)
MAPKAPK2	p38 signaling mediated by MAPKAP kinases(N)
MAPKAPK2	Cellular response to heat stress(R)
MAPKAPK2	Signaling mediated by p38-alpha and p38-beta(N)
MAPKAPK2	Interleukin signaling pathway(P)
MAPKAPK2	Regulation of mRNA stability by proteins that bind AU-rich elements(R)
MAPKAPK2	Arachidonic acid metabolism(R)
MAPKAPK2	Ras Pathway(P)
MAPKAPK2	Trk receptor signaling mediated by the MAPK pathway(N)
MAPKAPK2	Toll-Like Receptors Cascades(R)
MAPKAPK2	Signalling by NGF(R)
MAPKAPK2	p38 mapk signaling pathway(B)
MAPKAPK2	IL2-mediated signaling events(N)
MAPKAPK2	stress induction of hsp regulation(B)
MAPKAPK2	Oxidative Stress Induced Senescence(R)
ANAPC4	Mitotic Metaphase and Anaphase(R)
ANAPC4	APC/C-mediated degradation of cell cycle proteins(R)
ANAPC4	Cell Cycle Checkpoints(R)
ANAPC4	Senescence-Associated Secretory Phenotype (SASP)(R)
ANAPC5	Mitotic Metaphase and Anaphase(R)
ANAPC5	APC/C-mediated degradation of cell cycle proteins(R)
ANAPC5	Cell Cycle Checkpoints(R)
ANAPC5	Senescence-Associated Secretory Phenotype (SASP)(R)
MAPKAPK5	MAPK6/MAPK4 signaling(R)
MAPKAPK5	Oxidative stress response(P)
MAPKAPK5	Alzheimer disease-amyloid secretase pathway(P)
MAPKAPK5	Signaling mediated by p38-alpha and p38-beta(N)
MAPKAPK5	p38 mapk signaling pathway(B)
MAPKAPK5	Generic Transcription Pathway(R)
MAPKAPK5	Oxidative Stress Induced Senescence(R)
IGFALS	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)(R)
SNRNP200	Processing of Capped Intron-Containing Pre-mRNA(R)
S100A9	Endogenous TLR signaling(N)
S100A9	Antimicrobial peptides(R)
S100A9	Toll-Like Receptors Cascades(R)
S100A9	Neutrophil degranulation(R)
ANAPC1	Mitotic Metaphase and Anaphase(R)
ANAPC1	APC/C-mediated degradation of cell cycle proteins(R)
ANAPC1	Cell Cycle Checkpoints(R)
ANAPC1	Senescence-Associated Secretory Phenotype (SASP)(R)
S100A8	Endogenous TLR signaling(N)
S100A8	Antimicrobial peptides(R)
S100A8	Toll-Like Receptors Cascades(R)
S100A8	Neutrophil degranulation(R)
ANAPC2	Mitotic Metaphase and Anaphase(R)
ANAPC2	APC/C-mediated degradation of cell cycle proteins(R)
ANAPC2	Cell cycle(P)
ANAPC2	Cell Cycle Checkpoints(R)
ANAPC2	Senescence-Associated Secretory Phenotype (SASP)(R)
S100A7	Validated targets of C-MYC transcriptional repression(N)
S100A7	Antimicrobial peptides(R)
S100A7	Neutrophil degranulation(R)
GPR83	GPCR downstream signaling(R)
GPR84	GPCR downstream signaling(R)
GPR84	Neutrophil degranulation(R)
SLC9A1	Transport of inorganic cations/anions and amino acids/oligopeptides(R)
SLC9A1	Metabolism of carbohydrates(R)
SLC9A1	ErbB1 downstream signaling(N)
SLC9A1	RhoA signaling pathway(N)
SLC9A1	Signaling mediated by p38-alpha and p38-beta(N)
SLC9A1	Endothelins(N)
V2-8	Cell surface interactions at the vascular wall(R)
V2-8	Fc epsilon receptor (FCERI) signaling(R)
V2-8	Binding and Uptake of Ligands by Scavenger Receptors(R)
V2-8	Fcgamma receptor (FCGR) dependent phagocytosis(R)
V2-8	Complement cascade(R)
V2-8	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell(R)
B3GALT6	Metabolism of carbohydrates(R)
NFKB1	nf-kb signaling pathway(B)
NFKB1	Fc-epsilon receptor I signaling in mast cells(N)
NFKB1	Signaling events mediated by HDAC Class I(N)
NFKB1	Transcriptional regulation of white adipocyte differentiation(R)
NFKB1	BCR signaling pathway(N)
NFKB1	HIV-1 Nef: Negative effector of Fas and TNF-alpha(N)
NFKB1	IL1-mediated signaling events(N)
NFKB1	Signaling by the B Cell Receptor (BCR)(R)
NFKB1	Cytosolic sensors of pathogen-associated DNA (R)
NFKB1	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways(R)
NFKB1	Canonical NF-kappaB pathway(N)
NFKB1	Signaling by Interleukins(R)
NFKB1	Chromatin modifying enzymes(R)
NFKB1	Angiopoietin receptor Tie2-mediated signaling(N)
NFKB1	TCR signaling(R)
NFKB1	IL12-mediated signaling events(N)
NFKB1	Fc epsilon receptor (FCERI) signaling(R)
NFKB1	Glucocorticoid receptor regulatory network(N)
NFKB1	IL23-mediated signaling events(N)
NFKB1	Signalling by NGF(R)
NFKB1	Atypical NF-kappaB pathway(N)
NFKB1	TNF receptor signaling pathway(N)
NFKB1	CD40/CD40L signaling(N)
NFKB1	amb2 Integrin signaling(N)
NFKB1	Regulation of Telomerase(N)
NFKB1	C-type lectin receptors (CLRs)(R)
NFKB1	Neutrophil degranulation(R)
NFKB1	IL2 signaling events mediated by PI3K(N)
NFKB1	T cell activation(P)
NFKB1	Osteopontin-mediated events(N)
NFKB1	Senescence-Associated Secretory Phenotype (SASP)(R)
NFKB1	EPO signaling pathway(N)
NFKB1	Ceramide signaling pathway(N)
NFKB1	Toll-Like Receptors Cascades(R)
NFKB1	LPA receptor mediated events(N)
NFKB1	Alternative NF-kappaB pathway(N)
NFKB2	B cell activation(P)
NFKB2	C-type lectin receptors (CLRs)(R)
NFKB2	Cytosolic sensors of pathogen-associated DNA (R)
NFKB2	IL12-mediated signaling events(N)
NFKB2	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways(R)
